`name`,`location`
Jaloo,0994 Havey Trail
Talane,65197 American Ash Court
Thoughtsphere,67257 Lake View Lane
Devify,822 Lunder Pass
Gabcube,4 Donald Center
Eare,76 Derek Plaza
Twinte,4 Ridgeview Point
Divavu,469 Mitchell Hill
Oyoloo,777 Novick Park
Zava,203 Northfield Hill
Jayo,93 Hallows Center
Topicshots,967 Homewood Junction
Einti,9482 Brickson Park Point
Skyndu,263 Ryan Way
Rhybox,814 Sommers Way
Katz,1478 Sachtjen Plaza
Roodel,53 Grover Lane
Flipbug,507 Lawn Plaza
Kare,54328 Mayer Way
Gigazoom,915 Declaration Point
Devpulse,517 Truax Circle
Brainlounge,8 Hintze Street
Youtags,763 Vahlen Park
Realmix,91 Logan Crossing
Jayo,03336 Marquette Hill
Fivespan,38742 Brown Drive
Eadel,9841 Del Mar Drive
Trupe,5 Bultman Pass
Yabox,1 Dexter Drive
Edgeblab,1386 Express Pass
